sample-id,sample-name,transect,id,day,temp,treatment,Sample_or_Control,exp,leaf_length,leaf_area,lesion_area,healthy_area,severity,qPCR,grazing,lesion,old_area,new_area,perc_new_growth,perc_new_growth_per_day,new_growth_per_day,green_old_area,green_new_area,perc_green_old,perc_green_new,perc_green
RLM1,A12.0,A,A12,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM2,A17.0,A,A17,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM3,A19.0,A,A19,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM4,B10.0,B,B10,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM5,B15.0,B,B15,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM6,B17.0,B,B17,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM7,C10.0,C,C10,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM8,C15.0,C,C15,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM9,C6.0,C,C6,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM10,A12.4,A,A12,D4,NA,NA,True sample,RLM,NA,1405.9,1326.89,79.01,94.38011238,NA,no,possible,1170.72,235.18,20.088,5.022,58.795,10.002,69.008,0.85434604,29.3426312,0.05619888
RLM11,B3.0,B,B3,D0,NA,NA,True sample,RLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM12,A17.4,A,A17,D4,NA,NA,True sample,RLM,NA,1986.6,1784.049,202.551,89.80413772,NA,yes,no,1712.462,274.138,16.008,4.002,68.535,149.332,53.219,8.72031029,19.4132152,0.10195862
RLM13,A19.4,A,A19,D4,NA,NA,True sample,RLM,NA,2149.896,429.273,1720.623,19.9671519,NA,no,no,1680.091,469.805,27.963,6.991,117.451,1247.757,472.866,74.2672272,100.651547,0.80032848
RLM14,B10.4,B,B10,D4,NA,NA,True sample,RLM,NA,1356.477,1212.661,143.816,89.39782982,NA,no,possible,1133.813,222.664,19.639,4.91,55.666,16.939,126.877,1.49398534,56.981371,0.1060217
